City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Kjollefjord,NO,70.9457,27.3465,37.45,74,100,20.58,overcast clouds
334,Ahipara,NZ,-35.1667,173.1667,63.68,94,51,6.82,broken clouds
335,Pacific Grove,US,36.6177,-121.9166,55.51,91,100,10.0,overcast clouds
336,Sioux Lookout,CA,50.1001,-91.917,37.47,93,75,11.5,light intensity drizzle
337,Nelson Bay,AU,-32.7167,152.15,64.0,92,0,14.32,clear sky
338,Ulaanbaatar,MN,47.9077,106.8832,62.73,19,40,13.42,scattered clouds
339,Mahebourg,MU,-20.4081,57.7,77.29,73,75,12.66,broken clouds
340,Strabychovo,UA,48.3925,22.5431,75.94,47,54,8.19,broken clouds
341,Cabo San Lucas,MX,22.8909,-109.9124,77.5,48,95,11.05,overcast clouds
342,Pasni,PK,25.2631,63.471,85.39,64,0,20.89,clear sky
343,Chivasso,IT,45.1894,7.8872,84.31,46,20,2.3,few clouds
344,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,80.82,75,100,4.03,overcast clouds
345,Hofn,IS,64.2539,-15.2082,55.42,67,75,8.05,broken clouds
